county_id,propcount_2020_100yr_all,propcount_2020_100yr_<0,propcount_2020_100yr_q1,propcount_2020_100yr_q2,propcount_2020_100yr_q3,propcount_2020_100yr_q4,propcount_2020_500yr_all,propcount_2020_500yr_<0,propcount_2020_500yr_q1,propcount_2020_500yr_q2,propcount_2020_500yr_q3,propcount_2020_500yr_q4,propcount_2050_100yr_all,propcount_2050_100yr_<0,propcount_2050_100yr_q1,propcount_2050_100yr_q2,propcount_2050_100yr_q3,propcount_2050_100yr_q4,propcount_2050_500yr_all,propcount_2050_500yr_<0,propcount_2050_500yr_q1,propcount_2050_500yr_q2,propcount_2050_500yr_q3,propcount_2050_500yr_q4,n_props
12029.0,3431,1787,30,69,175,1330,4330,2499,34,45,68,1638,3681,1917,25,24,76,1596,4561,2626,27,48,76,1734,8883.0
12031.0,24066,8561,2828,3579,5170,3924,46763,11456,3838,5133,8325,18002,31542,9926,3221,4106,6629,7651,55773,11808,4011,5327,8421,26195,323337.0
12033.0,9245,5087,602,725,1247,1580,12639,5683,845,1155,1856,3096,10294,5388,684,855,1375,1988,13722,5693,912,1213,2010,3888,104813.0
12035.0,13467,7693,367,564,1075,3764,23577,13015,479,547,1114,8416,17092,9062,416,590,1331,5689,26206,14251,503,577,996,9873,47420.0
12037.0,4673,322,118,135,379,3709,6316,243,63,110,336,5553,5264,366,95,125,323,4345,6702,136,28,49,174,6303,7951.0
12039.0,580,114,47,75,141,203,726,139,53,90,178,266,623,125,52,79,152,215,782,153,65,85,189,290,16072.0
12041.0,1256,301,87,147,271,449,1776,434,140,191,320,690,1381,341,100,136,288,515,1929,473,135,216,346,757,6726.0
12043.0,704,493,18,24,88,81,1466,1102,54,56,76,177,864,626,25,27,72,114,1558,1133,66,77,90,191,4590.0
12045.0,2951,527,167,250,464,1543,3679,330,101,163,387,2698,3332,406,118,247,579,1982,4041,328,82,135,325,3171,7950.0
12047.0,190,183,0,1,3,3,277,264,0,0,3,7,214,206,0,0,4,3,298,281,0,3,4,7,4182.0
12049.0,254,205,9,10,16,14,331,271,9,14,18,19,282,230,9,8,20,15,381,312,11,16,21,21,7166.0
12051.0,2342,1350,294,268,211,166,3995,2042,525,463,545,311,2657,1493,335,339,238,191,4417,2180,561,508,596,443,12158.0
12053.0,11292,6110,310,418,715,3736,17882,9625,569,736,1473,5476,12828,6993,393,533,863,4043,20197,10352,610,1013,1815,6404,80812.0
12055.0,3823,1395,377,524,729,794,5361,1609,503,683,1288,1273,4330,1546,482,586,824,887,5874,1721,587,720,1306,1535,41408.0
12057.0,71519,8843,2554,3371,6240,50494,95432,12481,3773,5033,8594,65530,85140,10056,3013,3997,6755,61299,114587,12312,3979,5373,9841,83056,433121.0
12059.0,300,215,18,16,25,25,458,310,23,31,41,52,328,233,18,25,23,28,504,339,26,30,45,63,7023.0
12061.0,13176,6785,980,1250,1858,2266,19277,8289,1151,1471,2693,5628,15958,6782,1066,1361,2489,4220,21682,8680,1231,1414,2065,8241,60146.0
12063.0,986,239,96,142,269,240,1353,313,118,194,309,419,1077,256,110,143,306,262,1436,315,132,193,336,460,15627.0
12065.0,198,48,24,29,56,41,262,71,33,32,64,62,216,52,28,30,60,46,281,70,39,39,65,68,4973.0
12067.0,440,123,28,57,85,145,649,166,46,74,121,240,493,124,47,62,83,175,720,187,53,74,141,263,2778.0
12069.0,4541,1160,494,632,1050,1170,7011,1726,691,967,1605,1979,5446,1403,582,748,1248,1426,8123,1985,809,1088,1830,2361,141121.0
12071.0,122371,16051,4127,5277,11765,85151,155260,16119,4935,6292,9946,117968,132875,13433,3799,5112,10718,99813,170355,15678,4836,6522,10936,132383,272727.0
12073.0,6576,3730,401,558,929,949,8736,4467,527,730,1293,1708,7155,3960,442,619,1009,1116,9430,4710,563,796,1396,1953,85355.0
12075.0,4997,886,320,428,803,2556,6490,1004,379,534,926,3642,5603,928,356,493,827,2994,6964,1042,350,537,990,4040,17515.0
12077.0,102,24,14,13,19,32,138,28,12,24,33,41,117,26,19,14,25,33,151,26,17,25,31,52,2440.0
12079.0,364,111,34,52,79,88,553,142,58,70,115,168,413,115,45,53,99,101,601,147,56,73,133,192,6564.0
12081.0,29453,15596,630,890,2215,10087,41980,20413,577,932,2188,17827,34697,16436,476,844,2505,14397,49003,22008,637,982,2408,22923,136060.0
12083.0,17758,8581,964,1438,2657,4079,26820,11308,1366,1964,3980,8146,20162,9520,1096,1557,3025,4923,29397,12023,1425,2164,4381,9342,158225.0
12085.0,8568,2817,735,1074,1969,1973,12972,3998,1098,1373,2346,4157,11101,3261,818,1053,2009,3960,16349,4373,1282,1504,2804,6384,55125.0
12086.0,173046,103388,10324,13512,19505,26315,252882,123581,15660,20234,35533,57872,197915,107021,11693,15589,28615,34995,274433,122212,15551,21002,37271,78395,444774.0
12087.0,30522,16194,466,696,1605,11559,31703,6234,764,1220,3558,19925,31494,11492,973,1481,3147,14399,31800,1972,242,531,2239,26814,32540.0
12089.0,5146,1108,320,459,952,2306,10447,1527,439,568,1144,6766,6677,1358,380,480,1004,3454,12759,1571,409,597,1287,8891,35395.0
12091.0,10420,2362,842,1241,2156,3817,14831,2736,1047,1476,2666,6904,11622,2370,899,1248,2418,4685,16151,2826,1085,1478,2756,8004,74999.0
12093.0,1733,667,212,276,404,172,2674,894,356,365,555,501,2031,748,255,267,487,272,3021,969,373,440,621,615,15584.0
12095.0,11395,8772,373,486,752,1011,20180,14665,800,998,1726,1990,14441,11000,495,689,1006,1250,24809,18103,943,1234,1963,2565,342120.0
12097.0,4769,4118,176,208,198,66,8150,6900,338,291,415,201,6157,5298,244,242,267,102,10136,8602,417,391,473,248,128755.0
12099.0,100183,44376,14880,15867,16300,8726,165082,57048,23797,29134,35353,19702,113875,46955,16520,18167,18928,13268,182399,58354,25858,32031,41054,25052,392117.0
12101.0,30592,5970,1987,2723,4467,15445,50973,9608,3404,4378,7756,25827,37283,6984,2345,3116,5352,19486,63112,9925,3740,4815,8826,35806,209927.0
12103.0,81716,15635,1650,2462,5982,55948,111798,21327,2462,3575,7657,76733,100407,18043,1804,2633,5929,71957,133244,17460,1851,3145,8847,101889,270633.0
12105.0,11918,8047,562,755,1230,1309,19381,13036,895,1157,1902,2371,13982,9411,597,876,1458,1623,21956,14584,1133,1214,2191,2810,245536.0
12107.0,2441,742,266,308,540,573,3769,993,340,418,699,1305,2759,793,272,355,619,708,4191,1078,324,483,772,1518,35555.0
12109.0,18028,9172,641,1097,2266,4811,29345,8289,666,1063,2881,16375,21571,8593,577,905,2862,8582,33165,8543,443,706,1774,21610,105581.0
12111.0,21568,9947,2066,2173,2172,5201,31011,14864,3166,3420,3522,6030,24559,11348,2465,2610,2568,5559,34828,16455,3729,3970,4194,6471,117506.0
12113.0,11341,7594,461,638,1114,1503,14962,7894,463,643,1594,4329,12314,7498,430,626,1450,2278,16106,8111,420,592,1358,5582,68522.0
12115.0,38231,11941,1818,2671,6082,15712,58704,14959,2495,3442,7242,30557,47160,12309,1909,2684,5734,24517,72129,15141,2588,3691,8710,41990,159257.0
12117.0,10021,8773,156,238,352,456,14842,12480,242,339,717,989,11944,10356,185,271,478,598,17013,14215,287,392,793,1242,154813.0
12119.0,5530,1578,616,831,1371,1129,7818,1925,814,1265,1865,1942,6260,1622,779,947,1570,1337,8805,2170,881,1202,2273,2272,70590.0
12121.0,2083,477,161,281,467,697,2975,624,236,297,652,1166,2335,505,197,260,564,809,3250,671,257,323,670,1329,15339.0
12123.0,2995,424,143,222,364,1841,3870,599,205,287,521,2257,3310,447,177,218,358,2109,4287,644,211,325,589,2517,8560.0
12125.0,123,56,17,15,19,15,166,69,19,25,32,20,139,60,20,18,24,16,178,67,29,22,32,27,3550.0
12127.0,30087,10251,2758,3591,5543,7931,48644,14431,3911,5491,9344,15451,38125,11961,3185,4334,7015,11615,60885,15106,4261,5975,11661,23866,198438.0
12129.0,4566,488,167,250,517,3140,6384,641,223,327,666,4522,5202,540,196,276,566,3620,8095,663,209,332,816,6069,13312.0
12131.0,7747,1841,588,852,1606,2817,10621,1599,540,728,1989,5690,8843,1639,585,858,2075,3636,11834,1554,603,798,1682,7112,52776.0
12133.0,537,142,80,84,120,103,746,200,78,109,173,171,578,149,79,90,136,114,779,189,92,110,188,184,10653.0
13001.0,438,294,18,14,47,63,557,367,15,28,45,100,467,314,15,21,41,74,634,428,20,27,41,115,6852.0
13003.0,88,83,2,0,2,1,131,123,1,4,0,3,100,93,4,0,1,2,143,133,0,6,1,3,2435.0
13005.0,124,109,7,5,2,0,169,152,2,5,9,0,141,126,3,8,3,0,188,169,2,4,11,1,3779.0
13007.0,85,63,1,0,5,16,126,84,1,7,5,29,93,64,4,3,2,20,132,82,3,6,8,33,920.0
13009.0,1287,947,31,52,105,152,1809,951,52,82,186,538,1360,978,33,63,115,171,1865,955,46,77,186,601,14518.0
13011.0,180,82,13,10,24,51,208,95,6,13,30,64,188,89,11,12,24,52,212,95,6,13,31,67,6801.0
13013.0,979,673,45,38,100,122,1214,811,41,59,115,187,1020,701,35,50,102,131,1279,859,37,59,126,197,25946.0
13015.0,3060,1377,204,257,403,819,3693,1511,279,350,498,1055,3266,1477,193,295,428,873,3857,1536,287,411,516,1107,34918.0
13017.0,240,210,6,6,15,3,303,254,13,6,13,16,259,223,9,3,13,11,320,267,13,8,14,17,5989.0
13019.0,233,199,6,6,15,7,327,279,7,12,12,17,258,218,7,9,12,12,356,305,5,9,19,18,6541.0
13021.0,3034,1565,206,274,533,455,3913,1943,228,346,694,701,3144,1603,207,282,575,476,4056,1985,262,349,696,763,48741.0
13023.0,254,215,5,11,17,6,285,222,9,18,19,17,258,212,9,11,18,8,297,231,9,14,25,18,4322.0
13025.0,307,275,3,9,10,8,370,316,10,5,15,21,323,285,4,10,14,8,406,334,15,12,18,24,6211.0
13027.0,228,212,3,0,5,8,258,240,1,2,3,12,239,223,2,1,3,10,274,252,4,2,3,13,5838.0
13029.0,956,836,19,20,32,48,2024,1515,57,89,148,214,1473,1216,32,43,78,103,3037,1868,86,152,281,649,14689.0
13031.0,897,683,32,36,96,50,1175,850,54,64,114,93,999,751,52,39,99,58,1278,931,54,63,123,107,21773.0
13033.0,351,279,8,21,19,22,436,337,9,18,32,38,372,291,11,23,22,23,460,350,13,16,34,44,9251.0
13035.0,913,238,28,38,103,506,1020,223,30,37,96,632,946,240,34,45,105,522,1036,223,28,43,86,654,8653.0
13037.0,71,63,1,3,3,1,104,90,6,3,3,2,77,69,1,3,2,2,109,95,5,4,3,2,1931.0
13039.0,3703,1516,158,249,517,1262,8615,1672,260,339,887,5455,5179,1627,232,342,705,2271,9777,1322,202,272,701,7278,17620.0
13043.0,180,144,8,7,15,6,226,168,10,17,19,12,195,153,11,7,17,7,239,174,14,14,23,14,3988.0
13045.0,1680,1126,81,102,180,190,2189,1380,96,129,268,315,1767,1180,70,112,201,203,2286,1436,88,150,274,337,38813.0
13047.0,1999,1277,96,137,204,285,2935,1662,143,209,349,572,2085,1312,103,150,213,307,3048,1587,155,220,410,676,22748.0
13049.0,80,68,4,2,1,5,114,94,1,4,2,13,86,70,1,7,2,6,129,102,1,3,9,14,3345.0
13051.0,25688,8482,974,1227,3148,11755,35032,9411,1363,1320,2903,19907,31139,8753,1069,1262,2771,17165,39962,9765,1313,1638,2759,24351,91759.0
13053.0,23,16,0,2,2,3,24,16,0,0,4,4,24,16,0,2,3,3,24,16,0,0,4,4,1062.0
13055.0,1061,647,46,60,108,200,1253,705,50,73,131,294,1094,654,53,63,104,220,1311,733,51,81,136,310,9053.0
13057.0,4035,1465,227,331,664,1346,5185,1754,322,446,836,1825,4344,1562,238,355,725,1462,5455,1850,308,499,881,1915,89179.0
